adam_fine_tuned,adamw_fine_tuned,adam_non_fine_tuned,adamw_non_fine_tuned
"[2.4917654745587696, 2.2149958972180825, 2.3415629872668546, 2.4044093407048717, 2.2480178857117554]","[2.301176517643732, 2.221513700395934, 2.324018378382765, 2.3927973736537975, 2.2313664209530146]","[2.312638421630145, 2.195504620727082, 2.326882583371709, 2.3973970899867654, 2.2375743688269054]","[2.302696274014448, 2.21720019976298, 2.3147025219956587, 2.373785000615352, 2.242048904690403]"
"[0.6523200443825178, 0.6330209161210014, 0.6306316012804113, 0.6266010749073697, 0.6236726913332102]","[0.6441993523152454, 0.6535526815016601, 0.6505369154625262, 0.6455480555176201, 0.6353217734363645]","[0.6373765666981773, 0.6549643257874349, 0.6468050514532832, 0.6160907884743451, 0.6413226042886939]","[0.6513258931095536, 0.6336439462002248, 0.6364329350657594, 0.6280604844890844, 0.6220583372332443]"
"[0.2994145199063232, 0.39660421545667446, 0.4169789227166276, 0.4174473067915691, 0.4023419203747073]","[0.38934426229508196, 0.3988290398126464, 0.3942622950819672, 0.39918032786885244, 0.4236533957845433]","[0.4122950819672131, 0.40175644028103047, 0.4338407494145199, 0.43407494145199066, 0.423536299765808]","[0.3985948477751756, 0.41861826697892274, 0.4314988290398126, 0.41463700234192036, 0.4]"
"[0.31090359898696496, 0.4109950874735316, 0.4454017172742741, 0.43440907982105, 0.42124011215179613]","[0.4072599680135063, 0.4235854325408377, 0.412761090347069, 0.4198827826979818, 0.4443445774370544]","[0.44076692507315995, 0.4233868846872452, 0.4483124688338328, 0.4566819988937813, 0.4411162037125296]","[0.41345584016105213, 0.4474611814595676, 0.44587251225916724, 0.4358054650214121, 0.41257433874673405]"
