Fold,Full Train Loss,Full Val Loss,Full Test Loss,Full Precision (Val),Full Recall (Val),Full F1-Score (Val),Text Train Loss,Text Val Loss,Text Test Loss,Text Precision (Val),Text Recall (Val),Text F1-Score (Val),Vision Train Loss,Vision Val Loss,Vision Test Loss,Vision Precision (Val),Vision Recall (Val),Vision F1-Score (Val)
1,1.9149128491063308,1.7783132351447488,1.7354989350958263,0.9026900177363066,0.8427985948477752,0.8573163896430125,3.302928548786065,3.352395847579029,3.347764549183935,0.0025966188692761773,0.013905152224824356,0.004122920436937868,2.6135912199768585,2.6135079142089204,2.584453048777491,0.6154778192366853,0.22497072599531617,0.2582901508868797
2,2.363051634482533,2.6129862805393254,2.4538809659329246,0.6218264749883193,0.40851873536299765,0.43458372808725954,3.650666571891838,3.7194240817399784,3.7079705549090094,0.00028419136456639236,0.01288056206088993,0.0005549099131273482,2.0712255924870315,2.2577717563259267,2.1112880237986533,0.7356554047824041,0.43223067915690866,0.51147186425598
3,1.9049443497172005,2.2636368948722554,2.231577310669288,0.687957867086521,0.49414519906323184,0.5447824884886251,3.571073291033716,3.6620251307977694,3.67643627513214,0.0004236688658206748,0.01331967213114754,0.0008161857811701608,1.6981962211517316,2.0831271448982096,2.008294883738743,0.7282520899547132,0.500731850117096,0.5651808845975003
4,1.775228142598753,1.9916578868282175,2.0018275056438948,0.7262611924376521,0.4874121779859485,0.5441862103293872,3.559092946996175,3.631159879336847,3.609720553351699,0.0003154349381793719,0.01288056206088993,0.0006135065667824978,1.607732394365572,1.94637674204657,1.9288978632469749,0.7610491831630071,0.5734777517564403,0.6321755945461432
5,1.5603257373010246,2.021707570162889,1.8608995758638847,0.7424811305022357,0.5657201405152225,0.6151761582515064,3.5341262736421,3.5951740140112762,3.578017225872711,0.0005992654078605395,0.012002341920374707,0.0011340798544884278,1.423648145145778,1.820326903156031,1.6857653510257993,0.7594707007429221,0.5576697892271663,0.6200184409726632
Average,1.9036925426411684,2.1336603735094872,2.0567368586411634,0.736243336550207,0.5597189695550351,0.5992089949599582,3.523577526469979,3.59203579069298,3.5839818316898984,0.0008438358891406312,0.012997658079625293,0.0014483205105012605,1.8828787146253945,2.1442220921271318,2.063739834117532,0.7199810395759465,0.4578161592505854,0.5174273870518332
