epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,precision_val,recall_val,f1_val,precision_test,recall_test,f1_test
1,2.148295388009565,0.0,0.0,47.65807962529274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.83468703684818,2.075558000635878,2.0747439057639476,51.716188524590166,40.82259953161593,41.29976580796253,0.7543632047415739,0.4082259953161593,0.4861224229037468,0.7455116598997567,0.4129976580796253,0.48719774743550776
3,1.724534050048933,2.075558000635878,2.0747439057639476,52.51756440281031,40.82259953161593,41.29976580796253,0.7543632047415739,0.4082259953161593,0.4861224229037468,0.7455116598997567,0.4129976580796253,0.48719774743550776
4,1.607732394365572,1.94637674204657,1.9288978632469749,54.530152224824356,57.34777517564403,57.92740046838407,0.7610491831630071,0.5734777517564403,0.6321755945461432,0.7567104169012125,0.5792740046838407,0.6336598528551749
