epoch,train_loss_avg,val_acc,val_precision_w,val_recall_w,val_f1_w
1,2.690791,0.907611,0.92172,0.907611,0.907249
2,1.457814,0.912178,0.932299,0.912178,0.916529
3,1.040907,0.919672,0.939867,0.919672,0.925323
