epoch,train_loss_avg,val_acc,val_precision_w,val_recall_w,val_f1_w
1,2.681557,0.909836,0.924017,0.909836,0.910011
2,1.478641,0.911358,0.93167,0.911358,0.916292
3,1.072867,0.921311,0.939842,0.921311,0.926194
