epoch,train_loss_avg,val_acc,val_precision_w,val_recall_w,val_f1_w
1,2.686036,0.902927,0.92431,0.902927,0.906818
2,1.485785,0.905152,0.934052,0.905152,0.913503
3,1.053584,0.922248,0.944158,0.922248,0.928568
