epoch,train_loss_avg,val_acc,val_precision_w,val_recall_w,val_f1_w
1,2.660783,0.91089,0.929241,0.91089,0.911061
2,1.486356,0.907963,0.937154,0.907963,0.915759
3,1.06649,0.91089,0.940389,0.91089,0.918813
