epoch,train_loss_avg,val_acc,val_precision_w,val_recall_w,val_f1_w
1,2.725921,0.89719,0.917115,0.89719,0.898217
2,1.481768,0.903864,0.927165,0.903864,0.909371
3,1.057658,0.920023,0.938325,0.920023,0.924296
